Unnamed: 0,_id,date,bug,__,asm,cf,nif,var,ifc,nel,lc,lcv,mc,fmc,md,sqa,smc,cmc,sw,nt,ntc,ns,nd,nf,entrophy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
104,Ic5dc3b7b24bb0005d6256ed00513bc7c0b91e613,1532815018,0,0,56,1627,24,1811,27,10,19,0,151,123,24,14,6,63,0,7,9,1,3,3,0.5131851787372753,21,2,1989,0,57,0.0,470,572,449.06137263870687,0
105,Ibd6724a3c678e81038a065677e12fa55ecc5b30d,1533115331,0,0,328,113,124,1551,144,10,19,21,997,919,228,69,56,394,5,47,26,1,5,7,2.101658367789124,159,22,2277,0,12,26.22991236772487,112,73,24.231982610933965,0
106,I03b9041edcf6d54328a1f58cb142cf84a077c627,1533747863,0,0,40,13,29,152,34,0,0,0,128,117,39,7,16,25,0,0,0,1,8,23,3.341194516083817,1454,0,43,0,4,0.0,30,1438,189.79605839048833,0
107,Ib600fa6798b303ce2c65c38a1a54370b95b2e397,1533859098,0,0,0,10,0,26,0,0,0,0,16,14,6,0,0,6,0,0,0,5,10,5,3.061577261890569,42,48,2421,1,10,0.0,227,361,306.44482434921935,0
108,I8e6c53e2975829b080bf8351f2ef6ec6a13522dd,1533863137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0.8112781244591328,4,4,479,1,3,80.10394675925926,26,5839,2413.982941089199,0
109,Ie7310539fbe6c737d78b1dcc29e34735d4616b88,1534066295,0,0,918,108,269,4157,330,10,66,62,4016,3911,427,153,290,635,8,247,34,2,5,7,2.4097225580746238,282,11,4642,0,28,38.05780092592593,179,1164,304.114849400529,0
110,Ibecaee6313d585f24ddde6a5d5dd7cf45af53763,1534140058,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.9809470132751208,118,30,2918,0,3,57.82245949074074,80,261,80.16424243039523,0
111,I4ff7adbf9d20bde8a28defa2933a1ccdf833acbe,1534217611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,4,1,1,1207.295451388889,2,231,37.1553287989264,0
112,Iaad08af8fe399311ed05252129037b7377f4fa72,1534417022,0,0,7585,2357,5117,40215,6787,477,1082,3234,19474,18828,4521,1432,450,7625,170,72,44,2,5,19,3.3266528179596984,209,54,62945,1,48,0.0,3200,1699,243.82978561140305,0
113,Iffe669d64216d003ae2162f32723aa70e59e417d,1534510036,0,0,217,48,52,1143,54,6,4,12,825,825,217,35,38,248,0,7,7,1,13,16,2.7546633560242557,1205,251,1461,0,12,139.30330954218107,142,3117,1434.008354308833,0
114,I51709cbe9343be197d6265f90ef5d965aca71cce,1534845718,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0.0,0,73,2.05476429152675,0
115,I583c9860a1f6909037265a4728b5e8b0fcd491d8,1534978742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,63,40,782,0,0,0.0,1,353,126.05065383628998,0
