,_id,date,bug,__,asm,cf,nif,var,ifc,nel,lc,lcv,mc,fmc,md,sqa,smc,cmc,sw,nt,ntc
59,I22bc225e81d834df53fd2140f4075afb2285fca6,1516177577,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,1,0,0,0
60,Iaee62c287ab3f94ae29e81467d646c4cb861e1f6,1517148492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,I4a3836987e47a59ebab28e8e23a2f896d8d55035,1518010449,0,0,30,7,7,120,9,1,0,0,89,88,13,7,2,22,0,0,0
62,I776b78eb623b6ea0aca42f681788f2e4b1667f15,1518419818,0,0,3,3,3,32,3,0,0,0,37,36,5,0,2,2,0,2,1
63,I7b014543c7ece26270e366db39d7647f82d64f0d,1518583367,0,0,36,3,5,127,7,0,0,0,102,102,12,9,15,7,0,0,0
64,Ia7bf97b4fca176f7af944a0b9435853732a43fb0,1519273986,0,0,1,0,2,4,5,0,0,0,3,3,1,0,0,2,0,0,0
65,I46721477af789952ed2642320f23bccaa6e499c3,1519736327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Iff3fab19c19cc06d1b8fb3f5566206f20a230a6d,1519736640,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,I22eb86b34659ff54223a81dec4f8341b63b5675b,1520827998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,I1682d4a2c52d674f90a1b021e0f6c3524c5ce5bc,1520995494,0,0,19,0,2,105,3,0,3,1,59,59,5,5,7,9,0,2,0
69,Ifb90e31c50cbdaf668eea8db770e82901cc61169,1521094182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,I2310bb77c94b662cb987b1cbdcbd9280d356c1bd,1521094247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Id72d7b8917b7ff5c718b06f02a5d07a042e84b9b,1521492112,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
72,Ifd7994d7f1f9f568e7d6d9ff089ffcccb4aa5f93,1522023657,1,1,14,1,-1,24,0,0,0,0,13,17,1,1,0,0,0,0,0
73,I758f4cd9e5d4752a798c915aeb39b1989cb33a4a,1522135610,0,0,-11,1,0,-42,0,0,0,0,-23,-23,0,-3,-4,1,0,0,0
74,Iecd5de2a90f0a62930f533414e278a4359cffd54,1522194212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,I87120af275e8d757cac5cd1c27b11d95fe8f729e,1523996732,0,0,16,7,9,59,9,0,0,0,40,38,17,2,2,22,0,2,2
76,Icd77d6a86e3410d1854342a1b3efa6c44a27c7f5,1524126900,0,0,6,0,4,16,5,0,0,0,10,10,0,2,1,4,0,0,0
77,If3e0af495fdf53d09e8fc7527269bb7d428691c5,1524454953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,I6e734799712c059c8e53aa882777dfebd85aa0d5,1524462078,0,0,223,62,136,916,155,6,13,25,482,438,146,44,28,198,1,6,6
79,Iebfc1341fd6c31ac011521c311ec2cd4a701c75a,1525420961,1,1,21,13,1,93,1,0,0,0,89,85,14,2,12,10,0,0,0
80,I6f35ae33b55ffbf938368cf673c9d231aa4ca7ed,1525764136,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
81,I9cedb648ad0a8b640954fb26925255bbce2a5336,1526205993,0,0,-6,-4,-1,-21,-1,0,0,0,-22,-22,-3,1,-4,-4,0,-1,-1
82,I2ccd8ad226a991dcd6cea8c992d75f5cf66e2295,1526389920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Ib145445c60c686bbbc187f252b32591535ac740d,1526491522,1,1,158,34,46,590,54,4,7,7,384,368,85,24,29,108,0,21,16
84,I2782f3c3edd064834ff9a766d3e6b4620afe3b17,1526976131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Ie91dd9e45e09bb6f750cb2ad95e69fbe0e5400a9,1527646576,0,0,39,12,25,168,34,1,2,7,217,167,66,7,9,70,0,0,0
86,I5d9c90eb1bff21899a227e8598f128dd2ac34cc9,1528353194,0,0,15,0,6,48,13,-1,0,0,14,16,2,5,2,16,0,0,0
87,I9cdb21632ee562e0bbddd1f9c2f643cfe2136680,1528372728,0,0,0,1,0,4,0,0,0,0,-4,-4,0,0,0,0,0,0,0
88,I0f8c4ca4731f0a9de116bca77e37a1aeb66fd5b5,1528521853,0,0,0,0,1,2,1,0,0,0,2,2,0,0,0,1,0,0,0
89,I9179d5545572a6c4e5b95ea3cf6e2901c2633930,1529536862,0,0,1,1,1,10,1,0,0,0,4,4,0,0,0,-2,0,0,0
90,I25fdc6663c864401fe6cc7bbf5253721701dad4e,1529978684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Ie3ec92f48457377241ed6aa6080aab260e777b6a,1530082872,0,0,-7,-2,-3,-31,-4,-1,0,0,-11,-10,-3,-1,-1,-10,0,0,0
92,I10cdda52fe2faa989bf7ea03198336a6394700e5,1530788836,0,0,19,0,1,26,1,0,0,0,15,6,7,3,1,-3,0,0,0
93,I7605fd5298bcababbc7cb212e3eed077bc10ba0d,1531287669,0,0,9,0,3,37,4,0,0,0,35,32,1,2,3,11,0,1,0
94,I2528fdcfcf9f515b2b2f2604eb0d92ed1ff0b328,1531663706,0,0,18,1,5,53,5,2,3,0,31,25,8,3,4,9,0,0,0
95,Ib2ca8ed8b751c41d92a6b5f4b8d982d67b4d9fc1,1531724748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,I1de7b760041ac4ce4601f1b5032fdb0a197212a1,1532066998,1,1,217,55,72,893,83,5,1,0,637,538,139,37,37,238,3,3,3
97,I830d09f4b60c8f5c94b4edcaf6f53c3a77baae0d,1532087572,0,0,73,29,31,276,41,-3,15,0,232,165,45,15,24,42,1,-1,0
98,I9dc20c64f5b8581f0d63483e607ca15cb9294774,1532155240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,I781b308cdbd1f5bdabad81508bd8a0276718d0f8,1532155323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Ia72ad44412143f46a2a0157bc85eb8490e5df4f7,1532155347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,I6e1dcc41f38ba81a5fa2038472648184e474b338,1532155383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Ia3213bade19ba8d3055ddcbdff850f4c54b37db4,1532155556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,I2433dca160939c95a7f250e2f7736a0227698f33,1532155593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Ic5dc3b7b24bb0005d6256ed00513bc7c0b91e613,1532815018,0,0,2,1,2,11,3,0,3,0,9,9,0,0,0,1,0,1,1
105,Ibd6724a3c678e81038a065677e12fa55ecc5b30d,1533115331,0,0,16,1,2,73,2,0,1,1,35,35,4,1,4,8,1,1,0
106,I03b9041edcf6d54328a1f58cb142cf84a077c627,1533747863,0,0,40,13,29,152,34,0,0,0,128,117,39,7,16,25,0,0,0
107,Ib600fa6798b303ce2c65c38a1a54370b95b2e397,1533859098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,I8e6c53e2975829b080bf8351f2ef6ec6a13522dd,1533863137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Ie7310539fbe6c737d78b1dcc29e34735d4616b88,1534066295,0,0,24,0,11,109,14,0,10,6,128,127,15,3,4,29,0,5,2
110,Ibecaee6313d585f24ddde6a5d5dd7cf45af53763,1534140058,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,I4ff7adbf9d20bde8a28defa2933a1ccdf833acbe,1534217611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Iaad08af8fe399311ed05252129037b7377f4fa72,1534417022,0,0,17,3,9,47,11,1,0,0,18,18,5,2,0,7,0,0,0
113,Iffe669d64216d003ae2162f32723aa70e59e417d,1534510036,0,0,51,4,24,239,26,2,0,0,155,155,39,5,8,42,0,5,5
114,I51709cbe9343be197d6265f90ef5d965aca71cce,1534845718,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,I583c9860a1f6909037265a4728b5e8b0fcd491d8,1534978742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,I7562b122f097204fc0bbfaaa90d8c318454e6b36,1534987982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,I011bb3882ff0c35b238aa3eccad7889041210277,1535032573,0,0,0,0,-1,-1,-1,0,0,0,21,20,1,0,1,-3,0,0,0
118,Ia987660ec0968ad4081dbd5a60e80660539497e3,1535032573,0,0,2,0,1,22,1,0,0,0,44,43,2,1,2,1,0,1,0
119,Ie0c8c1d4bd9e7e733a5ce3963adbe6189f5aba98,1535623676,1,1,16,2,11,42,14,2,0,0,20,18,4,3,3,10,0,0,0
120,I7a00aecc6eafe70d24d00dcec691198a11aefd97,1536018004,1,1,4,0,0,8,0,0,0,0,6,5,0,0,1,0,0,0,0
121,I1efc6cb6d8ffd9ccac8693baa5bff73cbf1acd75,1536131873,0,0,2,4,0,11,0,0,0,0,8,8,3,1,0,1,0,0,0
122,Ib39709fdc19a19da26040aa80a9310fe534f7727,1536193996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
123,If5a8ee54ec74e2cb6683ddf9fd3a53908d600cd5,1536537436,1,1,16,0,9,-20,14,9,-21,-67,45,41,3,-1,-1,40,0,1,1
124,I7b6f050767d8de214c81d4c270e02a50c590a569,1536793495,0,0,-1,0,0,-7,0,0,0,0,1,1,1,0,0,1,0,0,0
125,I7fd5c8db8858c2353484b880ccce67f525942f5d,1536798998,0,0,15,20,1,84,1,0,0,0,34,34,10,1,9,23,0,1,1
126,I3a17d5abe29d4f062ae465880f6535a3bcfb5ca7,1537164156,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,I6c906307775747a02b35b65179ade6c8844c9d12,1537417279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Iec9ee3c6c9d68528155e82903577b3f157e036b7,1537795137,0,0,-30,-4,-11,-137,-13,-3,0,0,-43,-43,-6,-4,0,-17,-7,2,2
129,I6fc0e068d8be0cc4a3207493c9356850789f83cf,1538107529,1,1,3,0,5,22,7,1,2,0,11,11,1,1,0,9,0,0,0
130,Ia45fd267d1ccd0fc84b0ae2f78be976a682a4acc,1538112475,0,0,3,0,0,9,2,0,0,-1,-5,-5,0,0,-1,-4,0,0,0
131,I763506087720a173165d3a1a06c51a5d12a82738,1538117543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,I9fad3ed9276b624d8f668356ffd99a067dc67ef7,1538560790,0,0,35,5,4,207,5,0,2,2,171,171,10,6,6,4,0,1,1
133,I26303a98d9016b0315a01d6cd5f0fda9ffc82fa4,1538596334,0,0,7,2,0,19,0,0,0,0,12,12,7,2,1,1,0,0,0
134,I540690329146e9a9bc1755863da44cce7a920aab,1538704157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,I9e0024c9dfe6327df41ec2129e9b125564a0fd48,1538710846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,I0160db646b952fd457621c326bb2c8f274984a34,1538872525,0,0,1,0,0,5,0,0,0,0,5,5,0,0,2,0,0,0,0
137,I810f44bbe0cffd518a1cedf27b2a025cee0fb25b,1538896721,0,0,4,7,2,29,2,0,0,0,13,13,3,1,2,4,0,0,0
138,I15699d149bd60527999f0abde9a16d89b8c737df,1538981587,0,0,-5,-1,0,-15,0,0,0,0,-7,-6,-2,-1,0,-4,0,-1,-1
139,I8274affff8152dba35233a06cd8cdaef39cf00bb,1539017735,1,1,2,0,1,5,1,-1,0,0,3,0,3,1,0,5,0,0,0
140,I5dc5e9ed063124a910805bc5d9e66049dc68336a,1539135660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,I203c977fe1f2d09a96bd000755362f203455319f,1539250559,1,1,51,7,3,136,3,1,1,3,138,135,14,14,23,10,0,0,0
142,Id1867d5703c7616cf9321d6742c70441593dee81,1539652838,0,0,0,0,1,3,1,0,0,0,1,1,0,0,0,1,0,0,0
143,I215d36612ecdcbea8422994ce2085b03aa84694c,1539754997,0,0,0,7,0,8,0,0,0,0,1,1,1,0,0,1,0,0,0
144,I2e10b1f779a3100cecc67dc31a1066454150662d,1540196111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,I63aa467bf875738af919a748bb33a8e22bd9cf49,1540329216,0,0,14,0,8,40,9,1,0,0,15,13,1,2,-1,12,0,1,0
146,Ib3f943156ce01e564545105a73ff8d900ccf74a1,1540362976,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,I7fb09b974c9feedc20b0c61ae49204a63d20c447,1540418467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,I71d49900fb4457e0bea56076c1f7f705c2191ca2,1540430905,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Ib80f4f541f36de5d561361238556c32456b64b6f,1540471886,1,1,94,3,6,347,11,1,2,7,253,250,15,24,26,12,0,0,0
150,I8f0d90cd9637ea29dc1840f9b2bb9eff6d605f60,1540532989,0,0,1,0,1,3,1,-1,0,0,4,1,3,0,0,2,0,0,0
151,I24f031c17a4052fd9cbc738f76c1c4a09b4af321,1540764709,0,0,6,1,3,20,3,0,0,0,9,8,2,1,0,5,0,0,0
152,If17e2f091b5e3b6de3a5e72ecf535da43306cca9,1540790799,1,1,16,0,2,44,2,0,0,0,48,46,6,3,5,3,0,0,0
153,I2043c9072c066c829a200b44c523b959eff7572b,1540803189,0,0,3,-1,2,11,2,1,0,0,14,14,0,1,0,8,0,0,0
154,I2142780f1c45801be4b2fc7f51c980fd76008c54,1541043824,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0
155,Iee33fcf01b87c1db83cf3320e0799d18e31a677c,1541140067,1,1,29,19,11,211,11,0,0,0,135,133,42,5,11,39,0,0,0
156,Ib92289b930ad194bcf78aa28dfa893ae650e9417,1541159456,1,1,13,3,4,35,4,1,0,0,22,24,7,3,2,20,0,2,2
157,Iea433390d77587a19f3ce8fc91ead4c794af59a2,1541237712,0,0,26,8,20,120,21,5,1,4,86,81,6,4,5,37,0,-1,-1
158,I973c9004a58c0fb364e3ca46aea1e380636eefe6,1541347623,0,0,-82,-19,-44,-287,-61,-2,-2,-2,-137,-132,-31,-20,-8,-52,1,0,0
159,I3e2f68b47f4906fbdf4985389fd4a6763ebfd4fe,1541404002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,I8fc309e91101b8b0a6b420f961f5011b55ede618,1541479595,1,1,171,39,64,663,72,8,11,8,348,316,129,42,26,157,0,5,5
161,Ie2e1854e0d72648ce57cb56a69a7eb85cb0e8381,1541482414,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0
162,I85d7f8292fbb9e469aeedadf33614662863e855e,1541505107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,I9e8c41e83998d27b7443dfb863d79127ea7031e3,1541555394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,I1dd0f1ede7cd7ea60d28607916d0165269a9f628,1541666409,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
165,I4b8ba094892be9123b09b662b51a0f49c7dbe434,1541744682,0,0,3,2,0,13,0,0,0,0,6,5,5,0,1,6,0,1,0
166,I7481cc0d98997ef8c74d81e97eebd586d25dba93,1541747774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,I0c0be22f453a54798ca58cd20b0a11e5ab3c7047,1541894323,0,0,0,0,1,3,1,0,0,0,3,2,0,0,0,1,0,0,0
168,I6bc460d9bf5ee854137d730deeb3da28d7ecb60e,1541973288,0,0,8,2,8,53,6,0,0,0,29,30,1,2,0,11,0,0,0
169,I563db7cd75b50e7708fdc5f54b3f8a34a9a13f5b,1542133207,1,1,1,1,0,3,0,0,0,0,16,16,2,0,0,6,0,2,2
170,I14ea3667721af7d8ff627a8aa4ce0224626206e8,1542196398,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,I0811d7d0ae7e449adf85d031d3eaa2ef143ed5c6,1542265874,1,1,-209,-31,-139,-1153,-180,-12,-35,-117,-491,-416,-129,-32,-48,-228,-2,-4,-4
172,Ibb23a9253c628538760b3dc599598523117c4c05,1542320542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Iee903816b925ed407e90993e2e376f2d4638f446,1542332816,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,I6fbd7f7388c4e45d831ed7075d9d40c50fa81d91,1542353693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,I037618ba1fcc1c3b0ad0e4433100ef5c7c6d4ac8,1542373679,1,1,149,28,33,590,41,2,0,0,474,443,61,27,37,51,0,6,0
176,I252cf112bdb1439fa35e2fe715f3a22bc7e70f6f,1542466977,1,1,66,3,10,185,11,0,2,3,133,126,4,16,14,18,0,6,2
177,Ifdf5ac5986aa0e1919f2cde89972537d6d1c2337,1542510988,0,0,11,4,5,34,7,1,0,0,34,32,4,2,1,10,0,1,1
178,I1c3565fb54942a330fff82092d70d8c0114e3b97,1542524644,1,1,10,0,3,40,3,0,0,0,9,9,0,2,2,0,0,0,0
179,I5b412c36e88ce57e760c6fc65457c13c12a5534c,1542590666,1,1,-19,-3,-1,-39,-2,0,0,0,-35,-29,-9,-4,-4,-14,0,0,0
180,I4b80a2dfd951c55e8739ff85e55bfec7a7f90754,1542591021,0,0,4,0,12,48,16,0,0,0,30,30,-2,1,0,11,0,0,0
181,Iba85a159faf42ae636c4daa12943e5c006559e2c,1542617077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Icfeeea95e1a5bac3fa4438849d4ac2306d7d5562,1542620035,0,0,121,39,47,634,56,6,10,9,466,459,53,25,30,115,0,22,6
183,I788a317d14dbe883bd920d769333566e576365a7,1542638801,0,0,10,0,2,30,2,2,0,0,30,28,1,2,4,8,0,1,0
184,I5eb43f5be925b7df99df8ca9dc7828931ad102e8,1542699907,0,0,14,2,5,65,6,0,5,10,37,38,6,2,1,14,0,1,0
